public_id,split,runtime_sec,volume_load_sec,roi_sec,inference_sec,volume_shape,roi_shape
mela_0111,train,2.963160276412964,2.8366246223449707,0.12653565406799316,0.0,"(512, 512, 587)","(512, 512, 10)"
mela_0112,train,1.4214675426483154,1.3899061679840088,0.03156137466430664,0.0,"(512, 512, 396)","(512, 512, 10)"
mela_0113,train,1.6324284076690674,1.5913779735565186,0.03904294967651367,0.0020074844360351562,"(512, 512, 340)","(512, 512, 10)"
mela_0114,train,1.720855712890625,1.699129581451416,0.017709732055664062,0.004016399383544922,"(512, 512, 391)","(512, 512, 10)"
mela_0115,train,1.6381032466888428,1.6065034866333008,0.03159976005554199,0.0,"(512, 512, 365)","(512, 512, 10)"
mela_0116,train,1.9266207218170166,1.9179682731628418,0.008652448654174805,0.0,"(512, 512, 511)","(512, 512, 10)"
mela_0117,train,0.8966622352600098,0.8649642467498779,0.031697988510131836,0.0,"(512, 512, 246)","(512, 512, 10)"
mela_0118,train,1.0226459503173828,1.0088615417480469,0.011777639389038086,0.0020067691802978516,"(512, 512, 261)","(512, 512, 10)"
mela_0119,train,1.6124567985534668,1.5963904857635498,0.0,0.016066312789916992,"(512, 512, 427)","(512, 512, 10)"
mela_0120,train,0.2363884449005127,0.2166156768798828,0.017770051956176758,0.002002716064453125,"(512, 512, 60)","(512, 512, 10)"
mela_0121,train,2.253700017929077,2.2496838569641113,0.00401616096496582,0.0,"(512, 512, 528)","(512, 512, 10)"
mela_0122,train,2.0428683757781982,2.011192560195923,0.03167581558227539,0.0,"(512, 512, 546)","(512, 512, 10)"
mela_0123,train,1.2573137283325195,1.2097368240356445,0.03189730644226074,0.015679597854614258,"(512, 512, 325)","(512, 512, 10)"
mela_0124,train,1.6370842456817627,1.6212413311004639,0.015842914581298828,0.0,"(512, 512, 429)","(512, 512, 10)"
mela_0125,train,1.1888699531555176,1.156989574432373,0.016076087951660156,0.015804290771484375,"(512, 512, 295)","(512, 512, 10)"
mela_0126,train,1.8581275939941406,1.8430140018463135,0.0,0.015113592147827148,"(512, 512, 488)","(512, 512, 10)"
mela_0127,train,1.9910576343536377,1.9593684673309326,0.03168916702270508,0.0,"(512, 512, 508)","(512, 512, 10)"
mela_0128,train,1.3272027969360352,1.2796900272369385,0.04751276969909668,0.0,"(512, 512, 331)","(512, 512, 10)"
mela_0129,train,2.013418197631836,1.9954898357391357,0.002877473831176758,0.015050888061523438,"(512, 512, 483)","(512, 512, 10)"
mela_0130,train,1.8920865058898926,1.876117467880249,0.015969038009643555,0.0,"(512, 512, 440)","(512, 512, 10)"
mela_0131,train,1.8848521709442139,1.8531765937805176,0.03167557716369629,0.0,"(512, 512, 429)","(512, 512, 10)"
mela_0132,train,2.424450159072876,2.3932666778564453,0.029444456100463867,0.0017390251159667969,"(512, 512, 551)","(512, 512, 10)"
